HY_id|PRED
6030501|0.0
6035540|0.0
6041705|0.0
6043208|0.0
6028717|0.0
6030222|0.0
6076014|0.0
6077015|0.0
6079654|0.0
6079912|0.0
6080408|0.0
6080565|0.0
6080577|0.0
6081216|0.0
6082847|0.0
6084566|0.0
6133751|0.0
6520335|0.0
6760137|0.0
6761274|0.0
6785755|0.0
6811682|0.0
6780914|0.0
6939891|0.0
6945321|0.0
6965301|0.0
6972055|0.0
6969463|0.0
6028548|56.357167376364636
6028571|66.20174792135967
6028627|42.49900000000001
6028629|63.35832595520422
6028637|53.982591757378565
6028942|52.0445868303157
6029035|50.23706818181819
6029036|44.62996268498708
6029052|68.91756180555555
6029065|54.72312710953312
6029195|54.673771107208005
6029210|68.84115521257128
6029241|51.51296913499666
6030320|54.12761504088504
6030323|62.74479725274726
6030869|60.087525793650784
6030872|52.33479400093371
6030874|56.55200000000001
6030909|50.93109523809524
6030940|50.7911085952915
6030942|56.17009560982452
6030972|60.42228229639862
6030999|53.295138199355996
6031007|64.0050995023376
6031281|52.59794472694914
6031283|62.69621392919422
6031284|67.4065043944653
6031313|74.36963369185165
6031372|71.96886456876457
6031507|75.72611688311687
6031656|69.70399820179821
6031820|50.46555588464371
6031939|57.67564285714284
6031955|62.794708352610904
6032216|66.21459792666307
6032373|67.28656016483515
6032375|53.0151784295879
6032616|50.52473745612795
6032635|72.09730537518037
6033248|45.08338273678964
6033253|47.67986428571429
6033301|69.99394374782307
6033447|58.66158016774891
6033682|54.87786244428524
6034192|60.87239841930627
6034299|59.82245990338164
6034316|48.352540293097654
6034327|57.70856751220926
6034335|59.76385184259156
6034530|43.23791749194968
6034662|48.89525555555555
6034739|29.57942321187584
6034838|63.068969317099324
6034939|86.75278607156599
6034957|47.64655526081137
6034978|53.19756697576493
6035073|59.447023015873015
6035079|73.12484791666668
6035122|68.112881465821
6035685|70.68583036723165
6035721|47.82137761073241
6035785|58.65798365899195
6035802|69.68307608695652
6035821|51.137666666666675
6035842|62.775
6035843|58.972194060085386
6036079|53.7247691059619
6036112|61.210678710339
6036167|52.94056291444717
6036193|43.331964188468106
6036267|48.40144215371664
6036357|58.30102619047619
6036362|60.58915750915751
6036410|53.242075000000014
6036414|49.258870909913604
6036512|62.561833333333325
6036594|63.5781066689412
6036608|67.83533096988432
6036624|55.54639999999999
6036684|68.5697645374553
6036913|71.20106298003073
6037239|62.64210314199564
6037393|60.84375650274783
6037409|78.2879297924298
6037442|31.086750000000002
6037466|68.49691666666668
6037490|28.34558848096348
6037597|50.96283624301268
6037667|48.50288071679878
6037745|61.86471994858853
6037809|57.798613825757585
6037818|75.5213990852321
6037995|73.47017285915621
6038063|52.37593439863874
6038070|61.7894496201052
6038192|55.26572613929659
6038236|42.20188073905255
6038281|64.48121274779297
6038299|69.73510098378061
6038470|46.84457142857143
6038474|46.03790000000001
6038504|36.204
6038507|63.716939807374615
6038513|60.206657142857146
6039776|27.592683333333333
6039968|47.141999999999996
6039971|54.27752641689763
6040235|47.2031228956229
6040929|63.281899425287364
6041132|62.50509465963624
6041234|45.37315311549044
6041323|50.63098378779373
6041373|29.01623333333334
6041561|72.46257487886376
6041565|59.48039986041865
6041703|65.23272667312848
6041996|75.73016065947807
6042006|67.48698464912282
6042016|79.12294196643305
6042151|58.24539696969697
6042316|40.724000000000004
6042325|40.42300000000001
6042361|52.46156517115321
6042677|51.320055555555555
6042707|42.21900000000001
6042827|73.31149425287356
6042836|65.41273500652035
6043053|68.78730546594026
6043056|71.64902223567363
6043361|54.509961064425774
6043533|67.94269696969698
6043630|75.13622384792627
6043639|24.323618181818183
6043640|62.134861699425905
6043675|59.617999508421896
6043793|48.71941736405309
6043798|61.26807919799499
6043813|61.53809134916075
6043814|61.06441858974358
6043949|51.748000000000005
6075773|59.6832827641695
6075911|80.16437629550269
6076353|53.84490831713797
6076953|64.69698690476191
6077090|56.39973333333334
6077512|79.16894721348544
6077631|54.975835990893664
